semantic_id	family	statement_short	source_pr	source_head_sha	source_path	source_claim_id	primary_review_verdict	cross_review_verdict	coverage_status	final_verdict	quantifier_scope	proof_kind	required_fix	first_broken_arrow	rh_relationship	supersedes	superseded_by	computation_status	canonicalization_recommendation	reconciliation_reason	notes
RH	terminal	Riemann Hypothesis.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/INTEGRATION_READY.md	RH	A/B:UNPROVED	A×B:UNPROVED	C:UNPROVED	OPEN_RH_EQUIVALENT	global	terminal		No reviewed-only path reaches this terminal.	terminal			NOT_APPLICABLE	STATUS_ONLY	All five review objects agree RH remains unproved.
HEAT.HERMITE.COUNTABLE_CRITERION	heat_hermite	First-Hermite nonnegativity on a countable declared test family is an exact RH criterion.	379	589f1c05ccaf248cf08c87fefa7d5ab6d2380708	research/external/anthropic-zeta23/proofs/CONFLUENT_ZERO_HEAT_MONOTONICITY.md	countable first-Hermite criterion	B:VERIFIED_WITH_FIXES	A×B:AGREE_WITH_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	declared countable family and complete explicit formula	analytic criterion	State normal convergence, terminal-pair completeness, and explicit-formula hypotheses; do not inherit upstream Lean status.	Global First-Hermite sign is open.	exact RH criterion			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	This lane is distinct from the refuted uniform fractional-heat route.
HEAT.HERMITE.UNCONDITIONAL_REGIONS	heat_hermite	Broad-kernel, fixed-resolution exterior, and q<=(4-epsilon)loglog(2+|x|) First-Hermite positivity regions hold.	385	ea2d7c26c1fd3a58c3e31609cb2411ea0c0fd20a	research/external/anthropic-zeta23/proofs/GROWING_RESOLUTION_FIRST_HERMITE_WEDGE.md	First-Hermite region family	B:VERIFIED_WITH_FIXES	A×B:AGREE_WITH_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	each epsilon>0; sufficiently large height, with fixed-resolution/broad-kernel companion results from PR #384	analytic positivity theorems	State epsilon dependence, effective-threshold scope, and normalization.	Signed cancellation at the constant-four boundary remains open.	strong unconditional theorem family			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The reviews agree these are substantial standalone results below RH.
OPEN.HEAT.HERMITE_CONSTANT_FOUR	heat_hermite	Signed prime-power cancellation holds at the First-Hermite constant-four boundary near n~(log|x|)^4.	379	589f1c05ccaf248cf08c87fefa7d5ab6d2380708	research/external/anthropic-zeta23/proofs/CONFLUENT_ZERO_HEAT_MONOTONICITY.md	constant-four frontier	B:OPEN_RH_EQUIVALENT	A×B:AGREE_OPEN	C:CURRENT_GATE	OPEN_RH_EQUIVALENT	global first-Hermite criterion	open signed prime theorem		OPEN.HEAT.HERMITE_CONSTANT_FOUR	equivalent to the global criterion/RH			NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	Absolute phase-blind envelopes cannot cross the boundary.
Q4.HEAT.PHASE_LOCKED_SUBLINEAR	heat_hermite	Fixed and sublinear-order phase-locked Q4-Hermite positivity survives with a repaired tail envelope.	520	41db5f783c751e66c786f18fa7fbd6d9bf229a8d	claims/lemmas/L-94050-q4-critical-adjoint-first-hermite-filter.md|claims/theorems/T-94051-all-sublinear-first-hermite-frontier.md	L-94050/T-94051	B:OMITTED/PARTIAL	A×B:MISSED_CANDIDATE	C-FINAL:DELTA_CONDITIONAL	CONDITIONAL_EXACT	fixed/sublinear order	conditional theorem family	Retain the repaired tail envelope and keep fixed/sublinear order distinct from uniform-center or all-order positivity.	A uniform fixed positive leading constant and global tail theorem remain open.	conditional fixed/sublinear-order theorem family			NOT_APPLICABLE	CANONICALIZE_CONDITIONAL_RESULT	Reviewer C final pass exactified PR #520 and retained the controlling review boundary.	Does not inherit a global RH conclusion.
Q4.CARRY_FOURIER_CORE	q4	Every finite carry field has an exact sine-transform and inverse-discrete-Laplacian energy representation.	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90411-exact-carry-fourier-inverse-laplacian.md	L-90411	B:OMITTED	A×B:MISSED_CANDIDATE	C:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	finite carry fields	exact finite Fourier/Green identity	Use path-qualified semantic IDs because PR #383 reuses numerical claim IDs.	Low additive modes remain source-sensitive.	standalone coordinate theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	C independently path-pinned the recovered Q4 dust.
Q4.HAAR_FINE_SCALE	q4	The compact-Q4 carry field is an exact reflected discrete bridge; all fine Haar scales close at PIG size.	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90416-exact-bridge-haar-localization-of-pig.md	L-90416(path-qualified)	B:OMITTED	A×B:MISSED_CANDIDATE	C:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	finite endpoint; Haar scales <=sqrt(N)	exact finite reduction	Do not conflate with the distinct Brownian-bridge file sharing L-90416.	Mean and coarse coefficients remain open.	standalone theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	Duplicate numerical IDs are resolved by exact paths.
Q4.JORDAN_PERIODIZED	q4	Complete residue averaging yields the exact Jordan-2 GCD-square covariance model.	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90417-complete-residue-carry-covariance-is-a-jordan2-gcd-square.md	L-90417(path-qualified)	B:OMITTED	A×B:MISSED_CANDIDATE	C:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	complete periodized residue ensemble	exact covariance factorization	Keep the periodized ensemble distinct from the actual fixed-endpoint measure.	Fixed-endpoint incomplete-period transfer remains open.	standalone periodized theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The exact local model survives without yielding PIG.
Q4.FOURTEEN_ROW_RENEWAL	q4	The phase-locked factor-16 source has an exact fourteen-row image and corrected one-state Mobius renewal.	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90427-phase-locked-source-has-fourteen-row-carry-image.md|claims/lemmas/L-90430-normalized-phase-filtered-mobius-renewal.md	L-90427(path-qualified)/L-90430	B:OMITTED	A×B:MISSED_CANDIDATE	C:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	finite row compression	finite-row and renewal identities	Retain the u_1 term, column-one gauge, and factor-two spectral correction.	The renewal is noncontractive and proves no sign.	standalone corrected identities			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	Only the corrected path-qualified versions survive.
Q4.FOURIER_GOLDBACH	q4	Q4 compact innovation energy has an exact singular cosine-antiderivative and weighted radix-four Goldbach normal form.	386	66e60006bedbababefae22ad8f88f06753139a2b	claims/lemmas/L-90703-q4-innovation-is-singular-cosine-energy-and-goldbach-correlation.md	L-90703	B:OMITTED	A×B:MISSED_CANDIDATE	C-FINAL:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	finite/local arithmetic normal form	exact algebraic reduction	Keep the source-specific low-frequency/Goldbach cancellation open and distinguish the exact norm-loss no-go.	Transfer to the exact physical measure and signed low-frequency cancellation remain open.	standalone exact normal form			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	Reviewer C final pass pinned the exact theorem path and its scope.	A local arithmetic reduction, not PIG or RH.
Q4.POSITIVE_DIVISOR_COMPILER	q4	The scale-four inverse has positive coefficients and an exact coefficient-one descending divisor Markov compiler; the source-free reciprocal shortcut is false.	540	d2984600a848aca04f27b46bda86bd92229a4a0b	claims/lemmas/L-95050-scale-four-inverse-has-a-positive-coefficient-one-divisor-compiler.md|claims/refutations/R-95050-no-source-free-linear-transfer-from-a-log-derivative-to-its-reciprocal.md	L-95050/R-95050	B:OMITTED	A×B:MISSED_CANDIDATE	C:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	multiplicative source compiler	Euler-factor theorem and no-go	Do not infer additive critical capacity from macroscopically large positive mass.	Source-specific additive carry estimate remains open.	standalone theorem and firewall			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	C's follow-up resolves the earlier omitted-result provenance defect.
Q4.ANNULAR.TYPE_I_II	q4	The factor-1024 safe annularization, ten exact bands, and source-preserving Type-I/II normal forms are exact.	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95400-safe-triple-annularization-of-the-focc-packet.md|claims/lemmas/L-95401-exact-band-ratio-gcd-decomposition-and-closed-sectors.md|claims/lemmas/L-95402-type-i-ii-mellin-and-frequency-normal-forms.md	L-95400/L-95401/L-95402	B:VERIFIED_WITH_FIXES	A×B:AGREE_WITH_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	finite annular packet and declared sectors	filter/kernel/reduction theorem	Pin exact kernel certificate, boundary ownership, cutoffs, and distinguish compact log support from compact Fourier support.	Balanced coprime Type-II correlation remains open.	strong standalone reduction			LIGHT_KERNEL_REPLAY; BROAD_SCAN_NOT_RERUN	CANONICALIZE_WITH_FIXES	The exact reduction is distinct from the open sign.
OPEN.Q4.SACF	q4	The absolute-polylog balanced separated coprime Type-II correlation satisfies the declared SACF bound.	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/theorems/T-95400-annular-separated-coprime-focc-is-the-exact-q4-gate.md	SACF	B:OPEN_RH_EQUIVALENT	A×B:WEAKEN_TO_OPEN_SUFFICIENT	C:FOLLOWUP_CONFIRMS	OPEN_SUFFICIENT_FOR_RH	declared finite annular packet	open sufficient estimate		OPEN.Q4.SACF	sufficient for RH; not proved equivalent in PR #580			NOT_APPLICABLE	REGISTER_OPEN_CUT	The later UOSACF, not SACF, has the proved converse.
OPEN.Q4.UOSACF	q4	The one-sided subpower annular coefficient estimate UOSACF holds.	606	327c0967c67e7efa08fcb62937ca1730f8c24069	claims/lemmas/L-95600-uosacf-is-equivalent-to-rh.md	L-95600/UOSACF	B:OPEN_RH_EQUIVALENT	A×B:AGREE_OPEN	C:CONTROLLING	OPEN_RH_EQUIVALENT	canonical one-sided annular criterion	RH-equivalent criterion		OPEN.Q4.UOSACF	equivalent to RH			NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	This is the controlling Q4 terminal classification.
Q4.FILTER.EXHAUSTION	q4	Subpower-invertible finite filters preserve UOSACF; finite-filter weakening is exhausted.	606	327c0967c67e7efa08fcb62937ca1730f8c24069	claims/lemmas/L-95601-subpower-invertible-filters-preserve-the-q4-criterion.md	L-95601	B:VERIFIED_WITH_FIXES	A×B:AGREE_WITH_FIXES	C:CONTROLLING	VERIFIED_WITH_FIXES	declared endpoint spaces and subpower-invertible filters	filter invariance theorem	State exact normalization, endpoint spaces, and inverse costs.	No finite filter proves UOSACF.	classification theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	This prevents repeated finite-filter reattacks.
Q4.FILTER.CRITICAL_ZERO_BARRIER	q4	Boundary moments can be added at polylogarithmic cost, but an extra zero at z=1/2 forces power-sized inverse cost.	600	193ca24d4ebecabb2c51efb62fa16c37947ad90c	claims/lemmas/L-95520-safe-zero-moment-tower-for-q4.md|claims/refutations/R-95520-polylog-stable-filters-cannot-add-safe-line-zero.md	L-95520/R-95520	B:PARTIAL	A×B:MISSED_CANDIDATE	C-FINAL:DELTA_VERIFIED	VERIFIED	finite dyadic filters	filter barrier	State the finite-filter/inverse-cost class exactly.	Only nonfinite or source-sensitive signed mechanisms remain.	standalone stable-filter no-go			NOT_APPLICABLE	CANONICALIZE_RESULT_AND_REFUTATION	Reviewer C final pass pinned and completed the filter-barrier review.	Boundary moments are cheap; another z=1/2 zero is power-costly.
REFUTATION.BROWNIAN.COFINAL_STABILITY	brownian_weil	Raw all-large/cofinal finite Brownian stability and the current symmetrized finite finishes fail by selected-prime/vertical-limit Bohr instability.	388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	reports/integration-wave/20260811-pr376-brownian-bohr-instability-review.md	Brownian Bohr review	B:IMPORTED_VERIFIED_WITH_FIXES	A×B:AGREE_REFUTED	C:CONTROLLING	REFUTED_MECHANISM	reviewed finite Brownian producer class	analytic no-go		A genuinely new producer must lie outside the reviewed class.	canonical no-go			NOT_APPLICABLE	CANONICAL_REFUTATION	No later descendant supplies a producer outside the firewall.
METHODOLOGY.BROWNIAN.NEW_PRODUCER	brownian_weil	A height-dependent or genuinely non-Bohr Brownian producer is a research direction, not a theorem node.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	Brownian methodology	B:OPEN_CATEGORY	A×B:MOVE_OUT_OF_GRAPH	C:ABSENT	GAP_BLOCKED	methodology only	research direction	Supply a quantified producer and implication theorem before adding a proof-graph node.	No such producer currently exists.	methodology, not reachability			NOT_APPLICABLE	METHODOLOGY_ONLY	This prevents a category from becoming a proof premise.
REFUTATION.WEIL.POSITIVE_SCHUR_RESCUE	brownian_weil	A positive Schur complement cannot rescue an already negative kernel direction: B-Z*C^-1*Z <= B.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/GRAPH_REPORT.md	Schur firewall	B:VERIFIED_REFUTATION	A×B:AGREE	C:REPRESENTED	REFUTED_MECHANISM	positive complement block	operator inequality		Corrected arithmetic kernel floor remains open.	canonical no-go			NOT_APPLICABLE	CANONICAL_REFUTATION	The August review theorem is imported as binding infrastructure.
OPEN.WEIL.CORRECTED_ARITHMETIC_FLOOR	brownian_weil	The corrected complete arithmetic kernel floor or odd half-line sign is nonnegative at all required scales.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	Weil floor	B:OPEN_RH_EQUIVALENT	A×B:AGREE_OPEN	C:CURRENT_GATE	OPEN_RH_EQUIVALENT	complete form domain/all scales	open operator sign		OPEN.WEIL.CORRECTED_ARITHMETIC_FLOOR	equivalent to RH in the reviewed formulation			NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	Finite packet capture is not a substitute.
REFUTATION.FREDHOLM.FIXED_DEGREE_HIGH_CARRIER	brownian_weil	Every fixed exterior/Hankel degree becomes positive at high carrier and is asymptotically blind to RH.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/GRAPH_REPORT.md	fixed-degree Fredholm firewall	B:REFUTED_MECHANISM	A×B:AGREE_PATH_FIX_REQUIRED	C:REPRESENTED	REFUTED_MECHANISM	each fixed degree; high carrier	analytic asymptotic no-go	Pin the exact PR #387 refutation path before theorem extraction.	All-order or fixed-carrier structure remains open.	canonical no-go			NOT_APPLICABLE	CANONICAL_REFUTATION_WITH_SOURCE_FIX	The broad mechanism verdict is settled even though exact path provenance remains to be repaired.
OPEN.FREDHOLM.ALL_ORDER_PRIME_SIGN	brownian_weil	All-order prime-side Fredholm positivity holds in the complete capturing hierarchy.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	Fredholm all-order sign	B:OPEN_RH_EQUIVALENT	A×B:AGREE_OPEN	C:CURRENT_GATE	OPEN_RH_EQUIVALENT	all orders/complete capture	open all-order sign		OPEN.FREDHOLM.ALL_ORDER_PRIME_SIGN	equivalent to RH			NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	Fixed-degree high-carrier positivity is refuted as a substitute.
FINITE.ROBIN.BARRIER	finite_certificates	The exact Robin barrier through 5582 with adjacent threshold 5583 is retained as a finite theorem.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/FINAL_COMPUTATIONS.tsv	FINITE.ROBIN.BARRIER	B:RETAINED_HEAVY_CERTIFICATE	A×B:AGREE_FINITE	C:REPRESENTED	RETAINED_HEAVY_CERTIFICATE	finite n through declared barrier	computer-assisted finite theorem	Pin the canonical August certificate path/hash; do not infer a global implication.	The infinite canonical tail is open.	finite theorem only			RETAINED ARTIFACT; HEAVY CAMPAIGN NOT RE-RUN	RESULTS_INDEX_FINITE	Finite positivity is durable but not global RH evidence.
FINITE.PICK.BOXES	finite_certificates	Two directed complex 8x8 Pick boxes are retained as finite exclusions.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/FINAL_COMPUTATIONS.tsv	FINITE.PICK.BOXES	B:RETAINED_HEAVY_CERTIFICATE	A×B:AGREE_FINITE	C:REPRESENTED	RETAINED_HEAVY_CERTIFICATE	two supplied finite boxes	directed finite computation	Keep authenticated primitive rectangles and exact scope; no strict negative Riemann-data witness exists.	No cofinal positivity or violation theorem is proved.	finite theorem only			RETAINED ARTIFACT; HEAVY CAMPAIGN NOT RE-RUN	RESULTS_INDEX_FINITE	Finite boxes remain outside global reachability.
OPEN.CONJ.REGIONAL_ROW	conjunctive	Literal native regional row marginals satisfy the subpower Schur bound.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.CONJ.REGIONAL_ROW	A:OPEN	B×A:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global literal source	open arithmetic hypothesis		OPEN.CONJ.REGIONAL_ROW	premise of a conjunctive sufficient criterion			NOT_APPLICABLE	REGISTER_OPEN_CUT	Final graph exposes every open hyperedge premise.
OPEN.CONJ.REGIONAL_COLUMN	conjunctive	Compatible literal native regional column marginals satisfy the subpower Schur bound.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.CONJ.REGIONAL_COLUMN	A:OPEN	B×A:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global literal source	open arithmetic hypothesis		OPEN.CONJ.REGIONAL_COLUMN	premise of a conjunctive sufficient criterion			NOT_APPLICABLE	REGISTER_OPEN_CUT	Final graph exposes every open hyperedge premise.
OPEN.CONJ.QMT	conjunctive	The first matched-transfer arithmetic estimate holds on the common transfer.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.CONJ.QMT	A:OPEN	B×A:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global literal source	open arithmetic hypothesis		OPEN.CONJ.QMT	premise of a conjunctive sufficient criterion			NOT_APPLICABLE	REGISTER_OPEN_CUT	Final graph exposes every open hyperedge premise.
OPEN.CONJ.AMT	conjunctive	The second matched-transfer arithmetic estimate holds on the common transfer.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.CONJ.AMT	A:OPEN	B×A:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global literal source	open arithmetic hypothesis		OPEN.CONJ.AMT	premise of a conjunctive sufficient criterion			NOT_APPLICABLE	REGISTER_OPEN_CUT	Final graph exposes every open hyperedge premise.
OPEN.CONJ.SORR	conjunctive	Strict source-owned root return holds with contraction theta<1.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.CONJ.SORR	A:OPEN	B×A:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global literal source	open arithmetic hypothesis		OPEN.CONJ.SORR	premise of a conjunctive sufficient criterion			NOT_APPLICABLE	REGISTER_OPEN_CUT	Final graph exposes every open hyperedge premise.
OPEN.CONJ.RFCP	conjunctive	Root-free excess packing is subpower on the same source ledger.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.CONJ.RFCP	A:OPEN	B×A:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global literal source	open arithmetic hypothesis		OPEN.CONJ.RFCP	premise of a conjunctive sufficient criterion			NOT_APPLICABLE	REGISTER_OPEN_CUT	Final graph exposes every open hyperedge premise.
OPEN.CONJ.PERRON_CV_ROW	conjunctive	The source-faithful critical-variation row of the joint Perron matrix is subcritical.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.CONJ.PERRON_CV_ROW	A:OPEN	B×A:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global literal source	open arithmetic hypothesis		OPEN.CONJ.PERRON_CV_ROW	premise of a conjunctive sufficient criterion			NOT_APPLICABLE	REGISTER_OPEN_CUT	Final graph exposes every open hyperedge premise.
OPEN.CONJ.PERRON_XD_ROW	conjunctive	The source-faithful cross-dispersion row of the joint Perron matrix is subcritical.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.CONJ.PERRON_XD_ROW	A:OPEN	B×A:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global literal source	open arithmetic hypothesis		OPEN.CONJ.PERRON_XD_ROW	premise of a conjunctive sufficient criterion			NOT_APPLICABLE	REGISTER_OPEN_CUT	Final graph exposes every open hyperedge premise.
REVIEW.C.FINAL_COVERAGE	review_infrastructure	Reviewer C assigns a disposition to every PR #375–#707, completes 171-issue archaeology, leaves zero targeted-review rows, and records only sequence #417 as having no remote PR object.	712	a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	review/2026-08-22/coverage/FINAL_REPORT.md|review/2026-08-22/coverage/PR_CENSUS.tsv|review/2026-08-22/coverage/ISSUE_CENSUS.tsv	C-FINAL-COVERAGE	C:FINAL_PASS	A×B:CANDIDATES_RECONCILED	C:341 PR rows; 171 issues; 0 targeted; 1 sequence gap	VERIFIED	PRs 375–707 and 171 issue records	review/provenance theorem		No mathematical claim is promoted solely from issue prose.	review infrastructure only	REVIEW.C.V2_COVERAGE		LIGHT_VALIDATORS_PASS; HEAVY_CAMPAIGN_NOT_RE_RUN	CANONICALIZE_REVIEW_LOCK	Latest C head supersedes the stale v2 counts used by Reviewer D pass one.	Sequence #417 is an administrative no-object gap, not an unresolved theorem.
REVIEW.C.ISSUE_ARCHAEOLOGY	review_infrastructure	Reviewer C classifies 171 historical issues and extracts only issue material corroborated by repository claims, reviews, or exact artifacts.	712	a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	review/2026-08-22/coverage/ISSUE_CENSUS.tsv|review/2026-08-22/coverage/ISSUE_GENEALOGY.md	C-ISSUE-ARCHAEOLOGY	C:PASS_ONE_AND_FINAL	N/A	C:171 issues classified	VERIFIED	repository issue history through the frozen review range	genealogy/provenance audit		Issue-only conjectures and programme notes remain outside theorem reachability.	review infrastructure only			NO_HEAVY_CAMPAIGN_RERUN	CANONICALIZE_GENEALOGY_SUMMARY	Issue archaeology is incorporated as provenance, not as independent theorem evidence.	Prevents valuable early route information from being lost without lowering the proof standard.
REVIEW.B.DIRECT_MAIN_CENSUS	review_infrastructure	The 85 commits directly deposited on main after the August 11 reviewed state are partitioned into 11 contiguous packets with no unclassified commit.	717	dad61b954dd8404520631058d1ce717e7a910a3b	review/2026-08-22/direct-main/COMMIT_PACKETS.tsv|review/2026-08-22/direct-main/REPORT.md	B-DIRECT-MAIN-CENSUS	B:DIRECT_MAIN_FINAL	N/A	85 commits; 11 packets; 0 targeted	VERIFIED	a88bed9..6772039, base exclusive	commit/provenance audit		No direct-main packet supplies a reviewed proof of RH.	review infrastructure only			LIGHT_REPLAY_PASS; HEAVY_CAMPAIGN_NOT_RE_RUN	CANONICALIZE_REVIEW_LOCK	Closes the direct-main blind spot identified after Reviewer D pass one.	Late research after the frozen main head is outside this integration pass.
ARITH.CARRY.FACTOR64_PAYMENT	carry_critical_hinge	Factor-64 reward prefixes pay every monotone occupation; the actual critical occupation is not monotone.	381	8b32a5941a349df16bdce59909ad66741293cb0a	claims/lemmas/L-90701-factor64-reward-prefixes-pay-every-monotone-occupation.md|claims/refutations/R-90702-critical-uniform-pascal-occupation-is-not-monotone.md	L-90701/R-90702	C-FINAL:DELTA_OPEN_SUFFICIENT	N/A	C:exact head/path final pass	VERIFIED_WITH_FIXES	finite factor-64 occupation prefixes	finite inequality plus counterexample	Separate the finite monotone-payment theorem from the nonmonotone critical occupation.	Cofinal control of the actual base sign and signed upward variation is absent.	standalone finite theorem and route firewall			RETAINED LIGHT CERTIFICATES; HEAVY_CAMPAIGN_NOT_RE_RUN	CANONICALIZE_WITH_FIXES	Reviewer C final pass exactified the route and retained only the valid finite inequality/counterexample.	Does not prove the critical occupation estimate.
OPEN.ARITH.CARRY_WEIGHTED_RESPONSE	carry_critical_hinge	Square-root weighted cancellation of the signed linear-hinge response would close the surviving critical-hinge route.	382	d5630815f68554649445cbe19989b562dc685bd3	claims/lemmas/L-90705-square-root-hinge-is-a-positive-mixture-of-signed-linear-hinge-responses.md	L-90705 terminal estimate	C-FINAL:DELTA_OPEN_SUFFICIENT	N/A	C:exact head/path final pass	OPEN_SUFFICIENT_FOR_RH	critical weighted response on all scales	open signed estimate		The weighted response cancellation is unproved.	open sufficient coordinate			NOT_APPLICABLE	REGISTER_OPEN_GATE	C final pass preserves the exact response representation and refutes source-blind convexity.	Alternative coordinate on the critical signed arithmetic interaction.
REFUTATION.CARRY.SOURCE_BLIND_CONVEXITY	carry_critical_hinge	Naive recursive residual monotonicity and generic average-carry convexity fail.	382	d5630815f68554649445cbe19989b562dc685bd3	claims/refutations/R-90701-naive-recursive-residual-monotonicity-fails.md|claims/refutations/R-90704-average-carry-inverse-does-not-preserve-the-full-convex-cone.md|claims/refutations/R-90705-truncated-geometric-atoms-do-not-have-positive-average-carry-inverses.md	R-90701/R-90704/R-90705	C-FINAL:CONTROLLED	N/A	C:exact head/path final pass	REFUTED_MECHANISM	claimed source-blind monotonicity/convexity classes	exact counterexamples		The mechanism is false at its stated scope.	canonical no-go			LIGHT EXACT FIXTURES	CANONICALIZE_REFUTATION	C final pass identifies the weighted signed response as the only surviving route.
OPEN.ARITH.NATIVE_ENDPOINT_GAP	native_endpoint	The literal arithmetic endpoint gap F_Lambda—not merely physical P_Lambda-H packing slack—must be controlled.	712	a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	review/2026-08-22/coverage/FINAL_CLOSURE_MAP.md	C-GATE-NATIVE-ENDPOINT	C-FINAL:OPEN_GATE	A/B:NORMALIZATION_FIREWALLS	C:final closure map	OPEN_RH_EQUIVALENT	literal native endpoint on all scales	open arithmetic sign		Physical packing slack does not determine F_Lambda.	open RH-bearing coordinate			NOT_APPLICABLE	REGISTER_OPEN_GATE	C final pass contracts endpoint wrappers to the actual arithmetic gap.	Related to but not identical with fixed-row/native-source gates.
OPEN.ARITH.FACTOR67_GPC_CPSL	factor67_lorenz	GPC67/CPSL67 is the critical subpower signed Type-II/Lorenz boundary for the surviving factor-67 scalar route.	712	a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	review/2026-08-22/coverage/FINAL_CLOSURE_MAP.md	C-GATE-FACTOR67	C-FINAL:OPEN_GATE	A:factor67 genealogy	C:final closure map	OPEN_RH_EQUIVALENT	critical factor-67 scalar boundary	open signed estimate		The critical subpower signed boundary estimate is unproved.	open RH-equivalent coordinate			NOT_APPLICABLE	REGISTER_OPEN_GATE	C final pass resolves older factor-67 wrappers and retains one canonical terminal scalar.	Alternative coordinate to native negative mass/CV, not an independent proof.
OPEN.ARITH.C4MBI_BOUNDARY	c4mbi	The four-band one-sided critical Möbius boundary sign is the surviving C4MBI conclusion-producing estimate.	712	a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	review/2026-08-22/coverage/FINAL_CLOSURE_MAP.md	C-GATE-C4MBI	C-FINAL:OPEN_GATE	A:C4MBI finite algebra/certificates	C:final closure map	OPEN_SUFFICIENT_FOR_RH	global four-band critical boundary	open one-sided estimate		Finite campaigns and terminal sectors do not control the global boundary.	open sufficient route			NOT_APPLICABLE	REGISTER_OPEN_GATE	C final pass separates the exact four-band identity from the unproved global sign.	Finite C4MBI certificates remain finite only.
