semantic_id	source_pr	source_head_sha	source_path	source_claim_id	statement_short	dependencies	quantifier_scope	proof_kind	mathematical_verdict	evidence_tier	required_fix	first_broken_arrow	rh_relationship	supersedes	superseded_by	duplicate_of	computation_status	canonicalization_recommendation	notes
HEAT.HERMITE.COMPACT_LEVEL_REDUCTION	384	95ed673529fd4ed8ac9308f6ef43e11bda1954c1	research/external/anthropic-zeta23/proofs/MACROSCOPIC_FIRST_HERMITE_POSITIVITY.md	PR-384-IV	At every integer resolution the RH test reduces to a compact center interval.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Preserve the unbounded resolution quantifier.		exact_reduction_not_progress_alone				NOT_APPLICABLE	EXTRACT_RESULT	
HEAT.HERMITE.ALL_PRIME_ENVELOPE	385	ea2d7c26c1fd3a58c3e31609cb2411ea0c0fd20a	research/external/anthropic-zeta23/proofs/GROWING_RESOLUTION_FIRST_HERMITE_WEDGE.md	PR-385-II	The phase-blind all-prime term is O(q exp(q/4)) uniformly in center.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Include shell/polynomial prefactor and constants.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
HEAT.HERMITE.FOUR_LOGLOG_WEDGE	385	ea2d7c26c1fd3a58c3e31609cb2411ea0c0fd20a	research/external/anthropic-zeta23/proofs/GROWING_RESOLUTION_FIRST_HERMITE_WEDGE.md	PR-385-III	For each epsilon>0, positivity holds for q<=(4-epsilon)loglog(2+|x|) at large |x|.		fixed epsilon; large |x|	analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State epsilon dependence and small-q handling.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
REFUTATION.HEAT.HERMITE.PHASE_BLIND_ABOVE4	385	ea2d7c26c1fd3a58c3e31609cb2411ea0c0fd20a	research/external/anthropic-zeta23/proofs/GROWING_RESOLUTION_FIRST_HERMITE_WEDGE.md	constant-four firewall	Absolute phase-blind prime bounds cannot cross the constant-four diagonal.			method firewall	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	CANONICAL_REFUTATION	
CRITERION.HEAT.HERMITE.DIAGONAL	385	ea2d7c26c1fd3a58c3e31609cb2411ea0c0fd20a	research/external/anthropic-zeta23/proofs/GROWING_RESOLUTION_FIRST_HERMITE_WEDGE.md	signed boundary theorem	Signed prime cancellation at and above the constant-four diagonal would close the criterion.			analytic	OPEN_RH_EQUIVALENT	LINE_BY_LINE_RECONSTRUCTION		No signed prime-power estimate near n~(log|x|)^4.	RH_equivalent				NOT_APPLICABLE	REGISTER_LIVE_INTERFACE	
Q4.ANNULAR.TRIPLE_FILTER	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95400-safe-triple-annularization-of-the-focc-packet.md	L-95400	A three-factor scale filter kills the cubic tail, preserves right-half-plane poles and confines Q4 to factor 1024.			exact kernel algebra	VERIFIED	LIGHT_EXACT_REPLAY			independent_unconditional				LIGHT_EXACT_REPLAY	EXTRACT_STANDALONE	
Q4.ANNULAR.TEN_BAND_DECOMPOSITION	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95401-exact-band-ratio-gcd-decomposition-and-closed-sectors.md	L-95401	The filtered packet has ten exact bands and an exact ratio/gcd decomposition with several closed sectors.			analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT	Include exact kernel certificate and boundary ownership.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
Q4.ANNULAR.TYPE_I_II_NORMAL_FORMS	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/lemmas/L-95402-type-i-ii-mellin-and-frequency-normal-forms.md	L-95402	The surviving Q4 cross term has exact Type-I/II, coprime, Mellin and log-Fourier forms.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Keep J1 boundary and odd-core normalization explicit.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
REFUTATION.Q4.SOURCE_BLIND_SHORTCUTS	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/refutations/R-95400-source-blind-focc-shortcuts-fail.md	R-95400	Generic PSD, large-sieve, square-function and source-blind log-Sobolev shortcuts do not prove Q4.			family no-go	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	CANONICAL_REFUTATION	
CRITERION.Q4.SACF	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	claims/theorems/T-95400-annular-separated-coprime-focc-is-the-exact-q4-gate.md	SACF/T-95400	One balanced separated small-gcd coprime Type-II correlation is the remaining Q4 gate.			analytic	OPEN_RH_EQUIVALENT	LINE_BY_LINE_RECONSTRUCTION		No subpower bound for the balanced correlation.	RH_equivalent_or_conclusion_facing				NOT_APPLICABLE	REGISTER_LIVE_INTERFACE	
CRITERION.Q4.UOSACF	606	327c0967c67e7efa08fcb62937ca1730f8c24069	claims/lemmas/L-95600-uosacf-is-equivalent-to-rh.md	L-95600	The one-sided subpower annular cross-correlation criterion is equivalent to RH.			analytic	OPEN_RH_EQUIVALENT	LINE_BY_LINE_RECONSTRUCTION			RH_equivalent_not_independent_progress				NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	
Q4.FILTER.SUBPOWER_INVARIANCE	606	327c0967c67e7efa08fcb62937ca1730f8c24069	claims/lemmas/L-95601-subpower-invertible-filters-preserve-the-q4-criterion.md	L-95601	Every subpower-invertible finite scale filter preserves UOSACF.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State sequence spaces, endpoint truncation and constants.		independent_classification_theorem				NOT_APPLICABLE	EXTRACT_STANDALONE	
Q4.VK.CLASSICAL_TRANSFER	606	327c0967c67e7efa08fcb62937ca1730f8c24069	PR_BODY	L-95602	The Vinogradov-Korobov Mertens bound transfers to the exact ten-band packet at classical subexponential scale.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Pin external bound and logarithmic losses.		independent_unconditional_bound_below_gate				NOT_APPLICABLE	EXTRACT_RESULT	
REFUTATION.Q4.FINITE_MOMENT_PSD	606	327c0967c67e7efa08fcb62937ca1730f8c24069	PR_BODY	R-95600	Finite moments, diagonal data and source-blind PSD arguments cannot prove UOSACF.			classification/no-go	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	CANONICAL_REFUTATION	
Q4.ODD_CORE.CURRENT_EQUIVALENCE	606	327c0967c67e7efa08fcb62937ca1730f8c24069	PR_BODY	L-95603	The finite odd-core source is stably equivalent to compact Q4 current plus a lower-order delayed gauge.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State inverse and gauge norm.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
Q4.RECONNAISSANCE.FIVE_MILLION	606	327c0967c67e7efa08fcb62937ca1730f8c24069	PR_BODY	O-95600	Floating cross-sign reconnaissance was run through five million endpoints.			empirical	EMPIRICAL_ONLY	METADATA_ONLY			nonprobative				HEAVY_CAMPAIGN_NOT_RE-RUN	RETAIN_AS_OBSERVATION	
BROWNIAN.FINITE_GAMMA_DIRICHLET_HERMITE	388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	PR_BODY	finite local structure	Finite Brownian gamma, Dirichlet, Hermite, occupation and compact-height identities survive.			analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT	Apply exact domain/weight qualifications from the August review.		independent_finite_mathematics				NOT_APPLICABLE	EXTRACT_RESULTS	
BROWNIAN.ONE_FIBRE.ROBIN	388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	PR_BODY	corrected one-fibre formula	The corrected one-fibre Brownian/Robin self-adjoint formula survives.			analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT	Do not infer mixture real-rootedness.		independent_unconditional				NOT_APPLICABLE	EXTRACT_RESULT	
REFUTATION.BROWNIAN.COFINAL_STABILITY	388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	PR_BODY	R-90601	Raw all-large and every unbounded cofinal finite Brownian stability target are false.			Bohr/Kronecker/Hurwitz no-go	REFUTED_MECHANISM	ARTIFACT_AND_METHOD_AUDIT			independent_unconditional				NOT_APPLICABLE	CANONICAL_REFUTATION	
REFUTATION.BROWNIAN.NORLUND	388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	PR_BODY	R-90602-Norlund	The reviewed logarithmic Nörlund finite-real-zero finish is false.			analytic	REFUTED_MECHANISM	ARTIFACT_AND_METHOD_AUDIT			independent_unconditional				NOT_APPLICABLE	CANONICAL_REFUTATION	
REFUTATION.BROWNIAN.CENTRAL_BINOMIAL_GREEN	388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	PR_BODY	R-90602-Green	The reviewed central-binomial Green/Robin finite-real-zero finish is false.			analytic	REFUTED_MECHANISM	ARTIFACT_AND_METHOD_AUDIT			independent_unconditional				NOT_APPLICABLE	CANONICAL_REFUTATION	
CRITERION.BROWNIAN.NEW_PRODUCER	388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	PR_BODY	post-Bohr frontier	Only a new producer, height-dependent N(T), or direct infinite canonical system remains live.			analytic	OPEN_SUFFICIENT_FOR_RH	LINE_BY_LINE_RECONSTRUCTION		No such producer exists in reviewed descendants.	open_research_direction				NOT_APPLICABLE	REGISTER_FRONTIER	
OPERATOR.XI.CARDINAL_DIVISION	365	902a4cfeb36392c07878591e4a8381e3f4c7b2db	PR_BODY	zero-resolvent division	Division by an actual Xi zero preserves super-Gaussian localization and constructs Xi-cardinal sources.			analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT	Pin decay and multiplicity iteration.		independent_zero_side_theorem				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.XI.CARDINAL_CAPTURE	365	902a4cfeb36392c07878591e4a8381e3f4c7b2db	PR_BODY	Xi-cardinal capture	One Xi-cardinal source gives packet-independent strip-metric and cofinal capture bounds.			analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT	Preserve adaptive support growth.		independent_zero_side_theorem				NOT_APPLICABLE	EXTRACT_STANDALONE	
CRITERION.XI.CORRECTED_KERNEL_FLOOR	365	902a4cfeb36392c07878591e4a8381e3f4c7b2db	PR_BODY	corrected arithmetic floor	The remaining corrected-kernel lower floor is RH-equivalent.			analytic	OPEN_RH_EQUIVALENT	LINE_BY_LINE_RECONSTRUCTION		No source-faithful floor with epsilon_j->0.	RH_equivalent				NOT_APPLICABLE	REGISTER_LIVE_INTERFACE	
OPERATOR.WEIL.CAUCHY_SOBLEV_TRACE_CLASS	368	023434958a4c115c4d1f7d93ea310716f8bd81ae	PR_BODY	L-90505	Cauchy-Sobolev completion makes zero and prime sides trace class.			analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT	Use the exact August-reviewed corrected head.		independent_unconditional				NOT_APPLICABLE	EXTRACT_FROM_REVIEWED_HEAD	
OPERATOR.WEIL.HYPERBOLIC_POLE_BLOCK	368	023434958a4c115c4d1f7d93ea310716f8bd81ae	PR_BODY	R-90501/L-90506	The explicit pole contribution is a hyperbolic cross block with index-one shift.			analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT	Use corrected head, not the earlier diagonal-square model.		independent_unconditional				NOT_APPLICABLE	EXTRACT_FROM_REVIEWED_HEAD	
OPERATOR.WEIL.DARBOUX_POLE_NULL	368	023434958a4c115c4d1f7d93ea310716f8bd81ae	PR_BODY	L-90508/T-90503	The Darboux factor kills the two pole coordinates and yields a pole-null trace-class operator.			analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT	Separate algebra from domain/index closure.		independent_unconditional				NOT_APPLICABLE	EXTRACT_FROM_REVIEWED_HEAD	
OPERATOR.WEIL.RANK_ONE_POLE_COMPLETION	368	023434958a4c115c4d1f7d93ea310716f8bd81ae	PR_BODY	L-90509/T-90504	A unique trace-minimal rank-one correction converts the pole form to a positive square.			analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT	State the declared minimality class.		independent_unconditional				NOT_APPLICABLE	EXTRACT_FROM_REVIEWED_HEAD	
OPERATOR.WEIL.ODD_SECTOR	368	023434958a4c115c4d1f7d93ea310716f8bd81ae	PR_BODY	L-90510/T-90505	The pole-free odd sector has negative index equal to off-line quartets and an exact half-line criterion.			analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT	Pin parity and multiplicity.		independent_unconditional				NOT_APPLICABLE	EXTRACT_FROM_REVIEWED_HEAD	
CRITERION.WEIL.ODD_HALF_LINE_SIGN	368	023434958a4c115c4d1f7d93ea310716f8bd81ae	PR_BODY	odd half-line sign theorem	Positivity of the odd Wiener-Hopf-Hankel form is equivalent to RH.			analytic	OPEN_RH_EQUIVALENT	ARTIFACT_AND_METHOD_AUDIT		All-prime sign theorem is open.	RH_equivalent				NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	
OPERATOR.FREDHOLM.GAUSSIAN_TRACE_CLASS	373	34fe2037ba33bc61fc1e6ce04c7e74ab7b13e794	PR_BODY	Gaussian trace-class compression	A fixed Gaussian-confined Weil operator is self-adjoint trace class with all-prime expansion.			analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT	Pin domain and trace-norm estimates.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.FREDHOLM.NEGATIVE_INDEX	373	34fe2037ba33bc61fc1e6ce04c7e74ab7b13e794	PR_BODY	negative-index theorem	The Gaussian operator negative index counts reflected off-line Xi-zero pairs.			analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT	State multiplicity convention and reverse index bound.		exact_RH_equivalent_spectral_classifier				NOT_APPLICABLE	EXTRACT_STANDALONE	
CRITERION.FREDHOLM.ALL_ORDER	373	34fe2037ba33bc61fc1e6ce04c7e74ab7b13e794	PR_BODY	Fredholm/exterior/Hankel criteria	Fredholm positivity, all exterior coefficients, or all Hankel orders are exact RH criteria.			analytic	OPEN_RH_EQUIVALENT	ARTIFACT_AND_METHOD_AUDIT		No all-order prime-side positivity theorem.	RH_equivalent				NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	
OPERATOR.FREDHOLM.FINITE_FALSE_RH_WITNESS	373	34fe2037ba33bc61fc1e6ce04c7e74ab7b13e794	PR_BODY	finite nonlinear witness	False RH would yield a finite exterior degree, prime cutoff and strict Galerkin witness.			analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT	State quantitative tail/continuity constants.		finite_semidecision_under_false_RH				NOT_APPLICABLE	EXTRACT_RESULT	
REFUTATION.FREDHOLM.FIXED_DEGREE_HIGH_CARRIER	387	388ba7feb9927025d46a70963389ec45c9ead2ac	PR_BODY	fixed-degree high-carrier firewall	Every fixed exterior/Hankel degree becomes positive at high carrier whether or not RH is true.			trace-norm asymptotic no-go	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			independent_unconditional				NOT_APPLICABLE	CANONICAL_REFUTATION	
OPERATOR.BESSEL.REVERSE_BESSEL_CLOSURE	389	2eaebcd84e8e6bdbf5a1c85d6d4c8a28639a88fd	PR_BODY	reverse-Bessel closure	The safe-line polynomial hierarchy closes in reverse Bessel polynomials.			analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT	Extract exact algebra only.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
OPERATOR.BESSEL.HAUSDORFF_CRITERION	389	2eaebcd84e8e6bdbf5a1c85d6d4c8a28639a88fd	PR_BODY	Hausdorff/Hankel criterion	All-order positivity of normalized safe-line zero moments is an RH criterion.			analytic	OPEN_RH_EQUIVALENT	ARTIFACT_AND_METHOD_AUDIT			RH_equivalent				NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	
OPERATOR.JORDAN.COMPOUND_POISSON	389	2eaebcd84e8e6bdbf5a1c85d6d4c8a28639a88fd	PR_BODY	Jordan compound-Poisson envelope	The generalized Jordan quotient has an exact positive higher-von-Mangoldt compound-Poisson envelope.			analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT	State convergence and moving-boundary conventions.		independent_unconditional				NOT_APPLICABLE	EXTRACT_STANDALONE	
CRITERION.OPERATOR.ONE_QUARTER_SCHUR_GAP	389	2eaebcd84e8e6bdbf5a1c85d6d4c8a28639a88fd	PR_BODY	one-quarter Schur completion	A positive source-faithful Schur completion across the one-quarter gap is RH-equivalent.			analytic	OPEN_RH_EQUIVALENT	ARTIFACT_AND_METHOD_AUDIT		Archimedean/pole completion is unconstructed.	RH_equivalent				NOT_APPLICABLE	REGISTER_LIVE_INTERFACE	
FINITE.ROBIN.BARRIER_5582_5583	372	9b9c2536d89b65cb999ec08e20fce3386383803a	PR_BODY	integrated Robin barrier	Exact Robin positivity through 5582 and threshold at 5583 are finite verified mathematics.		n<=5583	finite computer-assisted	RETAINED_HEAVY_CERTIFICATE	ARTIFACT_AND_METHOD_AUDIT			finite_exclusion_only				PRIOR_REVIEW_IMPORTED; HEAVY_NOT_RERUN	RETAIN_CANONICAL_FINITE_RESULT	
FINITE.XI.SECANT_DIVIDED_DIFFERENCE	372	9b9c2536d89b65cb999ec08e20fce3386383803a	PR_BODY	integrated Xi finite theorems	Derivative-free Xi secant, divided-difference and barycentric finite theorems are retained.			analytic	VERIFIED_WITH_FIXES	ARTIFACT_AND_METHOD_AUDIT			finite_operator_mathematics				PRIOR_REVIEW_IMPORTED	RETAIN_CANONICAL_FINITE_RESULT	
FINITE.PICK.BOXES_8X8	372	9b9c2536d89b65cb999ec08e20fce3386383803a	PR_BODY	integrated Pick boxes	Two directed finite complex 8x8 Pick boxes are positive at exact frozen certificates.			finite computer-assisted	RETAINED_HEAVY_CERTIFICATE	ARTIFACT_AND_METHOD_AUDIT			finite_exclusion_only				PRIOR_REVIEW_IMPORTED; HEAVY_NOT_RERUN	RETAIN_CANONICAL_FINITE_RESULT	
FINITE.POST_CUTOFF_SEARCHES	0		PR_BODY	post-cutoff finite searches	Post-cutoff finite searches remain observations unless accompanied by exact certificates.			empirical/finite	EMPIRICAL_ONLY	NOT_REVIEWED			not_global_evidence				HEAVY_SEARCHES_NOT_RERUN	CATALOGUE_ONLY	
