pr	head_before	exact_head_after	title_after	family_after	disposition_before	pass1_disposition	controlling_later_pr	strongest_surviving_result	first_broken_arrow	current_open_gate	lifecycle_recommendation	review_depth	pass2_needed
484		aadf3541f9959e27a5e0eea890a13a8eb0467b01	review: live PR #481 intended-chain reconstruction and native-slack audit	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REVIEW	482/484	review-level exact counterexamples, scope repairs, and frozen-head provenance	native slack/root benchmark bridge and intended proof DAG remain incomplete	use the first open arrow stated by the controlling review	KEEP_AS_CONTROLLING_REVIEW	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
485		116d0ffb42602d5711abdba15aeb3ba9de076984	closure/audit: bounded CPNR67, SIDA corollary, and PSSI spectral-type refutation	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES		bounded CPNR route plus exact PSSI spectral-type refutation	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	transfer-based passive replacement or corrected native route	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
486		0d8badeda73626598a74dc3ef009b67a74af3b81	proposal: canonical one-shot factor-67 native-slack closure after PR #481 reviews	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	HISTORICAL_FULL_PROPOSAL	490/491/492	canonical one-shot algebra and finite port bookkeeping	one-shot closure remains conditional on frozen Hall/profile/source/endpoint inputs	standalone Gate A/B reconstruction	ARCHIVE_FULL_WRAPPER; KEEP_INDEPENDENT_LOCAL_RESULTS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
487		39d2cbc7cabf31ac1f8013f2f6d1785c86a4fdeb	hardening: exact Hall integration and bounded one-shot SONTR/NRCT slack	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	HISTORICAL_FULL_PROPOSAL	490/491/492	canonical one-shot algebra and finite port bookkeeping	hardening constants do not replace source and endpoint reconstruction	same as one-shot Gate A/B	ARCHIVE_FULL_WRAPPER; KEEP_INDEPENDENT_LOCAL_RESULTS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
488		9acd381fa168db02a03646ab16851daebbf4d0fd	recovery: exact PR #484 root composition packet on PR #487	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	HISTORICAL_FULL_PROPOSAL	491/492	canonical one-shot algebra and finite port bookkeeping	one-shot root composition has a common type/provenance gap	two-ledger terminal-child source map	ARCHIVE_FULL_WRAPPER; KEEP_INDEPENDENT_LOCAL_RESULTS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
489		0bb487c8a0782f601be0a3041743b357ad93726a	research: full standalone Gate A/B native-interface packet (T-92880)	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	HISTORICAL_FULL_PROPOSAL	490/491	explicit closing-gate decomposition	standalone Gates A/B packet retains analytic and source-realization dependencies	Gate A/B independent reconstruction	ARCHIVE_FULL_WRAPPER; KEEP_INDEPENDENT_LOCAL_RESULTS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
490		6f46c2cf4e84d51c744263f7e92a0e1743de5148	review: PR #489 standalone Gates A/B reconstruction	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REVIEW	490/491/492	review-level exact counterexamples, scope repairs, and frozen-head provenance	standalone/one-shot Gates A/B packets do not reconstruct every analytic and source-realization input	use the first open arrow stated by the controlling review	KEEP_AS_CONTROLLING_REVIEW	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
491		f5fb88c80f56e0b4e221c90f6362cf20413db02f	review: exact-head comparison of PR #488 and PR #489	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REVIEW	490/491/492	review-level exact counterexamples, scope repairs, and frozen-head provenance	standalone/one-shot Gates A/B packets do not reconstruct every analytic and source-realization input	use the first open arrow stated by the controlling review	KEEP_AS_CONTROLLING_REVIEW	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
492		9be030febf71135efbbb8a997f6cee2335ed719a	review: PR #488 one-shot root composition reconstruction	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	CONTROLLED_BY_LATER_REVIEW	490/491/492	review-level exact counterexamples, scope repairs, and frozen-head provenance	standalone/one-shot Gates A/B packets do not reconstruct every analytic and source-realization input	use the first open arrow stated by the controlling review	KEEP_AS_CONTROLLING_REVIEW	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
493		37f14be7c8bd16b3096baf08f6ba2cbc550797ac	falsification/repair: two-ledger factor-67 root with terminal children	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES		two-ledger root repair with terminal children	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	source-to-common-parent allocation and endpoint reconstruction	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
494		1468ff62c7377f3f6cc1744ef6eafc3df3172d5c	repair: actual-response one-shot closure after PR #489 reviews	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES	502	actual-response one-shot repair after reviews	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	remaining source-realization and endpoint inputs	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
495		50f45b46cbe3c471d6e702c41c7ef178b530e1ab	advance: exact Volterra/Mobius common-parent source for the two-ledger factor-67 route	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES	503	exact Volterra/Mobius common-parent source typing	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	closing row/capacity/endpoint composition	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
496		96f8a6b3cc3d474217633e16d4caa490a0aae518	successor: two-ledger root firewall and terminal-child factor-67 packet	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES	502	two-ledger root firewall and terminal-child packet	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	independent reconstruction of common-parent and endpoint chain	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
497		bd2a3c32ab50d8a8cec39c4b51ccd63349b23a74	proposal: complete Target-Lorenz tail and native two-ledger closure	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	HISTORICAL_FULL_PROPOSAL	516	finite event schema, terminal fixtures and later exact small witnesses	Boost rounded-transc inclusion contract fails and common-parent source is not defined	genuine directed tail plus typed common parent	ARCHIVE_FULL_WRAPPER; KEEP_INDEPENDENT_LOCAL_RESULTS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
498	UNRESOLVED_EXACT_HEAD	6cc0da2fa5711017e260ebdcea4ba8c22e453288	advance: centered Q4 cubic closure and mean-free prime major arc	q4	TARGETED_REVIEW_STILL_REQUIRED	DELTA_VERIFIED_WITH_FIXES		centered Q4 cubic criterion and mean-free prime-major-arc reduction	no failure assigned to the retained local statement; the advertised global composition stops at the stated open gate	CPBD / prime-block decorrelation	KEEP_STANDALONE_LOCAL_RESULTS; DO_NOT_PROMOTE_WRAPPER	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
499		99d3983b57f82941131caa8d9c36e4947f1179a0	proposal: positive native common-parent response-complement closure (T-91821)	native_row_hall_target_lorenz	TARGETED_REVIEW_STILL_REQUIRED	HISTORICAL_FULL_PROPOSAL		abstract physical coupling compiler	positive common-parent response-complement remains a proposal without controlling review in pass one	positive native common-parent response-complement	ARCHIVE_FULL_WRAPPER; KEEP_INDEPENDENT_LOCAL_RESULTS	GENEALOGY_AND_EXACT_METADATA; SELECTED_EXACT_CONTROL CLAIMS; NO HEAVY REPLAY	NO_OR_ONLY_INTEGRATOR_RECONCILIATION
